backend,canvas,passes,compile,sc,accuracy,jev_agreement,p50_total_ms,p95_total_ms,p50_prefill_ms,p50_decoder_ms
mlx_direct,64,2,no,yes,0.4667,0.4667,401.82,490.23,185.4,207.83
mlx_direct,32,2,no,yes,0.3333,0.3333,410.69,511.71,183.58,220.16
